feature,score
browse_count_time_lt,121
repay_sub_mean,100
browser_data_min,98
repay_sub_now_mean,93
repay_sub_std,84
repay_sub_now_max,84
amount_of_bill_left_min,77
repay_sub_max,76
amount_of_bill_left_std,75
amount_of_bill_left_median,74
repay_sub_now_std,72
mean_overdraft_this,72
credit_amount_std,71
avgConsumAmount,70
repay_sub_now_median,69
repay_sub_min,67
amount_of_bill_left_max,65
mean_NotPayOff_last,65
pre_repayment_std,64
browser_data_count,64
credit_amount_mean,63
mean_overdraft_this_adjust,63
repay_sub_now_min,63
pre_amount_of_bill_std,62
mean_overdraft_now,60
browse_count_std,60
repay_sub_median,60
browse_count_std_lt,57
consume_amount_std,56
pre_amount_of_bill_max,55
browse_count_mean_lt,54
amount_of_bill_left_mean,52
browse_count_median,51
sex,51
pre_repayment_median,49
browse_count_min_lt,49
mean_overdraft_now_adjust,47
BeforeLoanCount1,47
stg4_browse_count_min,46
browser_data_mean,46
pre_repayment_mean,46
mean_overdraft_last,46
credit_amount_max,45
browse_count_min,44
browse_count_mean,44
pre_repayment_max,44
pre_amount_of_bill_mean,44
browse_count_median_lt,43
browser_data_std,43
BeforeLoanCount5,42
mean_littleCredit,40
browseSubBehavior_7,40
stg4_browser_data_min,40
browseSubBehavior_10,38
mean_cash08,38
pre_amount_of_bill_median,38
mean_overdraft_last_adjust,38
consume_amount_mean,37
mean_cycleInt,37
browser_data_median,36
afterLoanCount5,36
browse_count_time_gt,36
stg1_browse_count_mean,36
credit_amount_median,36
stg2_browse_count_min,35
browseSubBehavior_6,34
stg1_browse_count_min,33
browseSubBehavior_4,32
browseSubBehavior_5,32
browseSubBehavior_1,32
browse_count_max_lt,32
pre_amount_of_bill_min,32
mean_cash05,31
browse_count_var_lt,31
browser_data_var,31
browse_count_min_gt,30
stg1_browser_data_min,30
stg5_browse_count_min,30
BeforeLoanCount4,30
browse_count_var,30
stg2_browse_count_std,29
afterLoanCount4,29
log_cnt,29
browse_count_max,29
stg2_browse_count_max,28
stg1_browse_count_max,28
stg3_browse_count_min,28
stg2_browser_data_mean,28
stg4_browse_count_max,28
edu,27
log_cnt_lt,27
BeforeLoanCount2,27
stg3_browse_count_mean,26
stg4_browser_data_count,26
stg2_browse_count_median,26
afterLoanCount2,26
stg5_examount0_mean,26
stg4_browse_count_mean,26
stg3_browse_count_max,26
stg2_browser_data_std,25
stg4_examount0_mean,25
stg3_browser_data_max,25
afterLoanCount1,25
browse_count_max_min_lt,25
stg3_browse_count_median,25
stg5_examount0_median,25
browse_count_mean_gt,25
stg3_browser_data_min,24
stg2_browser_data_max,24
browseSubBehavior_8,24
stg3_browser_data_median,24
stg4_browser_data_median,24
examount0time_max,24
stg5_browse_count_mean,23
stg1_browse_count_median,23
stg1_browse_count_std,23
stg3_examount1_std,23
browser_data_max,22
stg5_browse_count_max,22
mean_amount_income,22
stg2_browser_data_min,21
stg2_examount0_max_min,21
